,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred
10232,212201260714,2122,2022-01-26,MIL,99,CLE,115,1,1577.4090456487156,1569.025418654405,1602.0812437417958,1610.4648707361064,1
10233,212201260715,2122,2022-01-26,CHO,158,IND,126,0,1511.2281493098249,1538.739768963925,1463.7302152322848,1436.2185955781847,0
10234,212201260716,2122,2022-01-26,LAC,111,ORL,102,0,1470.5546035543139,1478.2617836791208,1310.7870092212713,1303.0798290964644,0
10235,212201260717,2122,2022-01-26,SAC,104,ATL,121,1,1348.4457785798984,1343.8506641805095,1501.8589001283467,1506.4540145277356,1
10236,212201260718,2122,2022-01-26,NYK,96,MIA,110,1,1486.4890843917308,1481.7002735900073,1607.3167993392801,1612.1056101410036,1
10237,212201260719,2122,2022-01-26,DEN,124,BRK,118,0,1542.6863970318363,1553.1026715409491,1531.799147644222,1521.3828731351093,0
10238,212201260720,2122,2022-01-26,TOR,105,CHI,111,1,1526.6419745875598,1520.965803900058,1504.4452259927164,1510.1213966802181,0
10239,212201260721,2122,2022-01-26,MEM,118,SAS,110,0,1591.2938145917808,1599.7286174208382,1471.6755583222305,1463.240755493173,0
10240,212201260722,2122,2022-01-26,DAL,132,POR,112,0,1590.1525563891469,1604.7993153683497,1460.6463141673928,1445.99955518819,0
10241,212201260723,2122,2022-01-26,PHO,105,UTA,97,0,1701.472360393914,1710.6677778253681,1604.9394890913807,1595.7440716599265,0
10242,212201270724,2122,2022-01-27,LAL,87,PHI,105,1,1481.951702387431,1476.150734167111,1598.3843761015708,1604.1853443218906,1
10243,212201270725,2122,2022-01-27,MIN,115,GSW,124,1,1544.9095996358571,1541.0238925902354,1652.1819911890927,1656.0676982347145,1
10244,212201280726,2122,2022-01-28,DET,103,ORL,119,1,1338.1187983561372,1327.2247308470314,1303.0798290964644,1313.9738966055702,0
10245,212201280727,2122,2022-01-28,BOS,92,ATL,108,1,1560.635133284508,1548.8518023181045,1506.4540145277356,1518.237345494139,0
10246,212201280728,2122,2022-01-28,LAL,114,CHO,117,1,1476.150734167111,1473.3633032434489,1538.739768963925,1541.5271998875871,1
